"namespace","tripleCount"
"https://growgraph.dev/fca/appeal/fca--23-84--335","47"
"https://growgraph.dev/fca/appeal/fca--23-84--645","47"
"https://growgraph.dev/fca/appeal/fca--23-85--048","47"
"https://growgraph.dev/fca/appeal/fca--23-87--065","47"
"https://growgraph.dev/fca/appeal/fca--19-86--149","46"
"https://growgraph.dev/fca/appeal/fca--21-86--778","46"
"https://growgraph.dev/fca/appeal/fca--21-87--180","46"
"https://growgraph.dev/fca/appeal/fca--22-80--083","46"
"https://growgraph.dev/fca/appeal/fca--22-80--514","46"
"https://growgraph.dev/fca/appeal/fca--22-81--659","46"
"https://growgraph.dev/fca/appeal/fca--22-82--692","46"
"https://growgraph.dev/fca/appeal/fca--22-83--345","46"
"https://growgraph.dev/fca/appeal/fca--22-83--462","46"
"https://growgraph.dev/fca/appeal/fca--22-83--737","46"
"https://growgraph.dev/fca/appeal/fca--22-84--985","46"
"https://growgraph.dev/fca/appeal/fca--22-85--731","46"
"https://growgraph.dev/fca/appeal/fca--22-86--409","46"
"https://growgraph.dev/fca/appeal/fca--22-86--460","46"
"https://growgraph.dev/fca/appeal/fca--22-87--256","46"
"https://growgraph.dev/fca/appeal/fca--23-80--095","46"
"https://growgraph.dev/fca/appeal/fca--23-81--425","46"
"https://growgraph.dev/fca/appeal/fca--23-81--433","46"
"https://growgraph.dev/fca/appeal/fca--23-82--047","46"
"https://growgraph.dev/fca/appeal/fca--23-83--205","46"
"https://growgraph.dev/fca/appeal/fca--21-80--434","45"
"https://growgraph.dev/fca/appeal/fca--21-82--778","45"
"https://growgraph.dev/fca/appeal/fca--22-80--896","45"
"https://growgraph.dev/fca/appeal/fca--22-81--680","45"
"https://growgraph.dev/fca/appeal/fca--22-81--782","45"
"https://growgraph.dev/fca/appeal/fca--22-82--739","45"
"https://growgraph.dev/fca/appeal/fca--22-83--185","45"
"https://growgraph.dev/fca/appeal/fca--22-83--353","45"
"https://growgraph.dev/fca/appeal/fca--22-83--874","45"
"https://growgraph.dev/fca/appeal/fca--22-84--190","45"
"https://growgraph.dev/fca/appeal/fca--22-84--485","45"
"https://growgraph.dev/fca/appeal/fca--22-85--280","45"
"https://growgraph.dev/fca/appeal/fca--22-86--130","45"
"https://growgraph.dev/fca/appeal/fca--22-86--859","45"
"https://growgraph.dev/fca/appeal/fca--22-86--999","45"
"https://growgraph.dev/fca/appeal/fca--23-80--995","45"
"https://growgraph.dev/fca/appeal/fca--23-81--039","45"
"https://growgraph.dev/fca/appeal/fca--23-81--374","45"
"https://growgraph.dev/fca/appeal/fca--23-81--424","45"
"https://growgraph.dev/fca/appeal/fca--23-81--660","45"
"https://growgraph.dev/fca/appeal/fca--23-82--620","45"
"https://growgraph.dev/fca/appeal/fca--23-83--302","45"
"https://growgraph.dev/fca/appeal/fca--23-83--569","45"
"https://growgraph.dev/fca/appeal/fca--23-84--145","45"
"https://growgraph.dev/fca/appeal/fca--23-85--140","45"
"https://growgraph.dev/fca/appeal/fca--23-85--831","45"
"https://growgraph.dev/fca/appeal/fca--21-86--228","44"
"https://growgraph.dev/fca/appeal/fca--21-86--477","44"
"https://growgraph.dev/fca/appeal/fca--22-80--393","44"
"https://growgraph.dev/fca/appeal/fca--22-81--034","44"
"https://growgraph.dev/fca/appeal/fca--22-81--036","44"
"https://growgraph.dev/fca/appeal/fca--22-81--445","44"
"https://growgraph.dev/fca/appeal/fca--22-81--706","44"
"https://growgraph.dev/fca/appeal/fca--22-81--780","44"
"https://growgraph.dev/fca/appeal/fca--22-81--992","44"
"https://growgraph.dev/fca/appeal/fca--22-82--287","44"
"https://growgraph.dev/fca/appeal/fca--22-82--665","44"
"https://growgraph.dev/fca/appeal/fca--22-82--741","44"
"https://growgraph.dev/fca/appeal/fca--22-82--988","44"
"https://growgraph.dev/fca/appeal/fca--22-83--736","44"
"https://growgraph.dev/fca/appeal/fca--22-83--756","44"
"https://growgraph.dev/fca/appeal/fca--22-83--833","44"
"https://growgraph.dev/fca/appeal/fca--22-83--986","44"
"https://growgraph.dev/fca/appeal/fca--22-84--259","44"
"https://growgraph.dev/fca/appeal/fca--22-85--243","44"
"https://growgraph.dev/fca/appeal/fca--22-85--988","44"
"https://growgraph.dev/fca/appeal/fca--22-86--349","44"
"https://growgraph.dev/fca/appeal/fca--22-86--487","44"
"https://growgraph.dev/fca/appeal/fca--22-86--557","44"
"https://growgraph.dev/fca/appeal/fca--22-86--673","44"
"https://growgraph.dev/fca/appeal/fca--22-87--042","44"
"https://growgraph.dev/fca/appeal/fca--23-82--152","44"
"https://growgraph.dev/fca/appeal/fca--23-82--198","44"
"https://growgraph.dev/fca/appeal/fca--23-83--152","44"
"https://growgraph.dev/fca/appeal/fca--23-85--109","44"
"https://growgraph.dev/fca/appeal/fca--23-85--295","44"
"https://growgraph.dev/fca/appeal/fca--21-84--384","43"
"https://growgraph.dev/fca/appeal/fca--21-85--460","43"
"https://growgraph.dev/fca/appeal/fca--22-80--184","43"
"https://growgraph.dev/fca/appeal/fca--22-80--302","43"
"https://growgraph.dev/fca/appeal/fca--22-80--883","43"
"https://growgraph.dev/fca/appeal/fca--22-80--966","43"
"https://growgraph.dev/fca/appeal/fca--22-81--200","43"
